Original Sentence,Triple-Fact 1,Triple-Fact 10,Triple-Fact 11,Triple-Fact 12,Triple-Fact 13,Triple-Fact 14,Triple-Fact 15,Triple-Fact 16,Triple-Fact 17,Triple-Fact 18,Triple-Fact 19,Triple-Fact 2,Triple-Fact 20,Triple-Fact 21,Triple-Fact 22,Triple-Fact 23,Triple-Fact 24,Triple-Fact 25,Triple-Fact 26,Triple-Fact 27,Triple-Fact 3,Triple-Fact 4,Triple-Fact 5,Triple-Fact 6,Triple-Fact 7,Triple-Fact 8,Triple-Fact 9
Chang Daz was selected as an astronaut candidate by NASA in 1980 and first flew aboard Space Shuttle mission STS-61-C in 1986.,"mission <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,"STS-61-C <b><font color=""red"">operator</font></b> NASA",,,,,,,,,,,,,,,
"Franklin Ramn Chang Daz, Ph.D. (born April 5, 1950) is a Costa Rican-American mechanical engineer, physicist and former NASA astronaut.","Franklin <b><font color=""red"">occupation</font></b> physicist",,,,,,,,,,,"Franklin <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Franklin <b><font color=""red"">type</font></b> astronaut",,,,,,
"He completed one NASA M2-F1, nine Northrop HL-10, nineteen Northrop M2-F3 and two Martin Marietta X-24B flights, for a total of 31 lifting body missions.","one NASA M2-F1 <b><font color=""red"">variantsWithTheirOwnArticles</font></b> Northrop M2-F3",,,,,,,,,,,"Northrop M2-F3 <b><font color=""red"">developedFrom</font></b> one NASA M2-F1",,,,,,,,,"nine Northrop HL-10 <b><font color=""red"">type</font></b> lifting body",,,,,,
"Formerly an aerospace research pilot, Dana flew the F-100 variable stability research aircraft and the Advanced Fighter Technology Integration/F-16 aircraft as well as many others.","the F-100 <b><font color=""red"">type</font></b> pilot",,,,,,,,,,,"the F-100 <b><font color=""red"">type</font></b> aircraft",,,,,,,,,"the F-100 <b><font color=""red"">type</font></b> pilot","the F-100 <b><font color=""red"">type</font></b> aircraft",,,,,
"William Harvey ""Bill"" Dana is a retired NASA test pilot and astronaut.","Bill <b><font color=""red"">occupation</font></b> test pilot",,,,,,,,,,,"Dana <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Dana <b><font color=""red"">occupation</font></b> test pilot","Dana <b><font color=""red"">type</font></b> astronaut",,,,,
"His position when dying was over Dallas, Texas and he was found 200 miles off the range of Dallas.","Dallas <b><font color=""red"">isPartOf</font></b> Texas",,,,,,,,,,,"Dallas <b><font color=""red"">isPartOf</font></b> Texas",,,,,,,,,,,,,,,
"The STS-107 mission ended on February 1, 2003 when the Space Shuttle Columbia reentered the atmosphere.","the Space Shuttle Columbia <b><font color=""red"">lastFlight</font></b> STS-107",,,,,,,,,,,,,,,,,,,,,,,,,,
"In the fifth and last exchange of a U.S. astronaut, STS-89 delivered Andy Thomas to Mir and returned with David Wolf.","Andy Thomas <b><font color=""red"">nationality</font></b> U.S.",,,,,,,,,,,"David Wolf <b><font color=""red"">nationality</font></b> U.S.",,,,,,,,,"Andy Thomas <b><font color=""red"">type</font></b> astronaut","David Wolf <b><font color=""red"">type</font></b> astronaut","Andy Thomas <b><font color=""red"">mission</font></b> STS-89","STS-89 <b><font color=""red"">crew7Down</font></b> David Wolf","STS-89 <b><font color=""red"">crewLanding</font></b> David Wolf","David Wolf <b><font color=""red"">mission</font></b> STS-89",
"Selected by NASA in December 1994, Anderson reported to the Johnson Space Center in March 1995.","the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson logged over 3,000 hours of flight in various models of the KC-135 and the T-38A aircraft.","the KC-135 <b><font color=""red"">type</font></b> aircraft",,,,,,,,,,,"T-38A <b><font color=""red"">type</font></b> aircraft",,,,,,,,,,,,,,,
"His sister-in-law is Gabrielle Giffords, the former congresswoman from Arizona.","Gabrielle Giffords <b><font color=""red"">birthPlace</font></b> Arizona",,,,,,,,,,,"Gabrielle Giffords <b><font color=""red"">residence</font></b> Arizona",,,,,,,,,"Gabrielle Giffords <b><font color=""red"">region</font></b> Arizona",,,,,,
"On January 8, 2011, with over two months remaining in the mission, Kelly's sister-in-law Congresswoman Gabrielle Giffords was shot in Tucson.","Congresswoman Gabrielle Giffords <b><font color=""red"">birthPlace</font></b> Tucson",,,,,,,,,,,"Congresswoman Gabrielle Giffords <b><font color=""red"">residence</font></b> Tucson",,,,,,,,,,,,,,,
Aboard the Soyuz rocket with Kelly were Soyuz Commander Aleksandr Kaleri of Russia and Russian Flight Engineer Oleg Skripochka.,"Aleksandr Kaleri <b><font color=""red"">occupation</font></b> Flight Engineer",,,,,,,,,,,,,,,,,,,,,,,,,,
"Traveling 3.2 million miles in space, the STS-103 mission was accomplished in 120 Earth orbits, spanning 191 hours and 11 minutes.","STS-103 <b><font color=""red"">orbitReference</font></b> Earth orbits",,,,,,,,,,,,,,,,,,,,,,,,,,
"After Kelly's first flight on STS-103 he served as NASAs Director of Operations in Star City, Russia.","STS-103 <b><font color=""red"">operator</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kelly was assigned to flight status on NASA's Space Shuttle program, officially designated Space Transportation System, or STS.","Shuttle <b><font color=""red"">genre</font></b> flight",,,,,,,,,,,,,,,,,,,,,,,,,,
"Selected by NASA in April 1996, Kelly reported to the Johnson Space Center in August 1996.","the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kelly's identical twin brother, Mark Kelly, is also an astronaut.","Kelly <b><font color=""red"">type</font></b> an astronaut",,,,,,,,,,,"Kelly <b><font color=""red"">type</font></b> an astronaut",,,,,,,,,,,,,,,
"Selected by NASA in April 1996, McCool reported to the Johnson Space Center in August 1996.","the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"He was assigned to Tactical Electronic Warfare Squadron 129 (VAQ-129) at NAS Whidbey Island, Washington, for initial EA-6B Prowler training.","EA-6B Prowler <b><font color=""red"">type</font></b> Tactical Electronic Warfare",,,,,,,,,,,"VAQ-129 <b><font color=""red"">garrison</font></b> NAS Whidbey Island",,,,,,,,,,,,,,,
"He flew the A-10A Thunderbolt II during tours at England Air Force Base, Louisiana, and Suwon Air Base, Republic of Korea.","Suwon <b><font color=""red"">country</font></b> Republic of Korea",,,,,,,,,,,,,,,,,,,,,,,,,,
"On May 15, 2012, Acaba was one of three crew members launching from Kazakhstan aboard the Soyuz TMA-04M spacecraft to the International Space Station.","Acaba <b><font color=""red"">missions</font></b> Soyuz TMA-04M",,,,,,,,,,,"Soyuz TMA-04M <b><font color=""red"">crew3Up</font></b> Acaba",,,,,,,,,"Soyuz TMA-04M <b><font color=""red"">crewMembers</font></b> Acaba",,,,,,
"Acaba, who was selected as an Educator Mission Specialist, completed his astronaut training on February 10, 2006 along with the other ten Astronaut Candidates.","Acaba <b><font color=""red"">occupation</font></b> Educator",,,,,,,,,,,"Acaba <b><font color=""red"">type</font></b> Astronaut",,,,,,,,,,,,,,,
"On May 6, 2004, Acaba and ten other people were selected from 99 applicants by NASA as astronaut candidates.","Acaba <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"Upon his return to the U.S., Acaba moved to Florida where he became Shoreline Revegetation Coordinator in Vero Beach.","Acaba <b><font color=""red"">birthPlace</font></b> the U.S.",,,,,,,,,,,"Acaba <b><font color=""red"">nationality</font></b> the U.S.",,,,,,,,,"Florida <b><font color=""red"">country</font></b> the U.S.",,,,,,
Acaba spent two years in the United States Peace Corps and trained over 300 teachers in the Dominican Republic in modern teaching methodologies.,"Acaba <b><font color=""red"">occupation</font></b> teachers",,,,,,,,,,,"Acaba <b><font color=""red"">occupation</font></b> teachers",,,,,,,,,,,,,,,
"He also worked as a hydrogeologist in Los Angeles, California.","Los Angeles <b><font color=""red"">isPartOf</font></b> California",,,,,,,,,,,"California <b><font color=""red"">largestCity</font></b> Los Angeles",,,,,,,,,,,,,,,
"Joseph Michael ""Joe"" Acaba (born May 17, 1967) is an educator, hydrogeologist, and NASA astronaut.","Joseph <b><font color=""red"">occupation</font></b> an educator",,,,,,,,,,,"Joseph <b><font color=""red"">occupation</font></b> hydrogeologist",,,,,,,,,"Joseph <b><font color=""red"">type</font></b> astronaut",,,,,,
"Serebrov died in Moscow on November 12, 2013.","Serebrov <b><font color=""red"">birthPlace</font></b> Moscow",,,,,,,,,,,"Serebrov <b><font color=""red"">deathPlace</font></b> Moscow",,,,,,,,,,,,,,,
"He flew on Soyuz T-7, Soyuz T-8, Soyuz TM-8 and Soyuz TM-17.","Soyuz T-7 <b><font color=""red"">nextMission</font></b> Soyuz T-8",,,,,,,,,,,"Soyuz T-8 <b><font color=""red"">previousMission</font></b> Soyuz T-7",,,,,,,,,,,,,,,
"He graduated from Moscow Institute of Physics and Technology (1967), and was selected as a cosmonaut on December 1, 1978.","Physics and Technology <b><font color=""red"">city</font></b> Moscow",,,,,,,,,,,,,,,,,,,,,,,,,,
"Aleksandr Aleksandrovich Serebrov (Russian: ?????????? ?????????????? ?????????, February 15, 1944  November 12, 2013) was a Soviet cosmonaut.","Aleksandr Aleksandrovich Serebrov <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,,,"Aleksandr Aleksandrovich Serebrov <b><font color=""red"">deathPlace</font></b> Russian",,,,,,,,,"Aleksandr Aleksandrovich Serebrov <b><font color=""red"">nationality</font></b> Russian","Russian <b><font color=""red"">establishedEvent</font></b> Soviet","Aleksandr Aleksandrovich Serebrov <b><font color=""red"">nationality</font></b> Soviet",,,,
"The mission also delivered crewmember Clayton Anderson, and returned with Sunita Williams from the Expedition 15 crew.","Clayton Anderson <b><font color=""red"">mission</font></b> Expedition 15",,,,,,,,,,,"Expedition 15 <b><font color=""red"">crewMembers</font></b> Clayton Anderson",,,,,,,,,"Sunita Williams <b><font color=""red"">mission</font></b> Expedition 15","Expedition 15 <b><font color=""red"">crewMembers</font></b> Sunita Williams",,,,,
STS-105 also brought home the Expedition 2 crew.,"STS-105 <b><font color=""red"">expedition5Down</font></b> Expedition 2",,,,,,,,,,,"STS-105 <b><font color=""red"">expedition6Down</font></b> Expedition 2",,,,,,,,,"STS-105 <b><font color=""red"">expedition7Down</font></b> Expedition 2","Expedition 2 <b><font color=""red"">departureCraft</font></b> STS-105",,,,,
Forrester was assigned to NASA at the Johnson Space Center as an aerospace engineer in July 1993.,"the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1992, he was assigned as an engineering test pilot at the U.S. Army Aviation Technical Test Center, Fort Rucker, Alabama.","engineering <b><font color=""red"">city</font></b> U.S.",,,,,,,,,,,"Alabama <b><font color=""red"">country</font></b> U.S.",,,,,,,,,,,,,,,
"Redmond V. Forrester, is deceased; his mother, Patsy L. Forrester, resides in Fort Walton Beach, Florida.","Fort Walton Beach <b><font color=""red"">isPartOf</font></b> Florida",,,,,,,,,,,,,,,,,,,,,,,,,,
He is an Eagle Scout in the Boy Scouts of America.,"an Eagle Scout <b><font color=""red"">country</font></b> America",,,,,,,,,,,,,,,,,,,,,,,,,,
"Patrick Graham Forrester (born March 31, 1957) is a retired United States Army officer and a NASA astronaut.","Patrick Graham Forrester <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Patrick Graham Forrester <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Finally, Samokutyayev and Volkov took more photographs holding photos of the first cosmonaut Yury Gagarin, spacecraft designer Sergei Korolyov and Soviet astronautic theory pioneer Konstantin Tsiolkovsky with Earth in the background before entering the Pirs module, closing the hatch and completing the Russian EVA #28.","Yury Gagarin <b><font color=""red"">nationality</font></b> Soviet",,,,,,,,,,,"Yury Gagarin <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,"designer <b><font color=""red"">deathPlace</font></b> Russian","designer <b><font color=""red"">nationality</font></b> Russian","designer <b><font color=""red"">stateOfOrigin</font></b> Russian","Russian <b><font color=""red"">demonym</font></b> Soviet","Konstantin Tsiolkovsky <b><font color=""red"">deathPlace</font></b> Russian",,
"On the same day, the Soyuz TMA-21 capsule carrying Samokutyayev, Borisenko and Ron Garan touched down (3:59:39 UTC) at 93 miles southeast of the city of Zhezkazgan in Kazakhstan.","Zhezkazgan <b><font color=""red"">country</font></b> Kazakhstan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Samokutyayev concluded his 164 day stay aboard the Space Station, when his spaceship, Soyuz TMA-21 undocked from the Russian segment's Poisk module at 00:38 UTC on 16 September.","September <b><font color=""red"">musicalArtist</font></b> his spaceship",,,,,,,,,,,"September <b><font color=""red"">musicalBand</font></b> his spaceship",,,,,,,,,"Samokutyayev <b><font color=""red"">mission</font></b> Soyuz TMA-21","Soyuz TMA-21 <b><font color=""red"">crew1Up</font></b> Samokutyayev","Soyuz TMA-21 <b><font color=""red"">crewMembers</font></b> Samokutyayev","Samokutyayev <b><font color=""red"">birthPlace</font></b> Russian","Samokutyayev <b><font color=""red"">nationality</font></b> Russian","Poisk <b><font color=""red"">country</font></b> Russian",
Samokutyayev served as Commander of Soyuz TMA-21.,"Samokutyayev <b><font color=""red"">mission</font></b> Soyuz TMA-21",,,,,,,,,,,"Soyuz TMA-21 <b><font color=""red"">crew1Up</font></b> Samokutyayev",,,,,,,,,"Soyuz TMA-21 <b><font color=""red"">crewMembers</font></b> Samokutyayev",,,,,,
"The Soyuz TMA-21 spacecraft carrying Samokutyayev, cosmonaut Andrei Borisenko and NASA astronaut Ron Garan launched on schedule from the Baikonur Cosmodrome's Gagarin's Start launch pad, at 23:18:20 UTC on April 4, 2011.","Samokutyayev <b><font color=""red"">mission</font></b> Soyuz TMA-21","Andrei Borisenko <b><font color=""red"">type</font></b> astronaut","Ron Garan <b><font color=""red"">type</font></b> NASA","Samokutyayev <b><font color=""red"">type</font></b> astronaut","Ron Garan <b><font color=""red"">type</font></b> astronaut","Gagarin <b><font color=""red"">launchSite</font></b> Baikonur Cosmodrome","Gagarin <b><font color=""red"">launchSite</font></b> Baikonur Cosmodrome",,,,,"Soyuz TMA-21 <b><font color=""red"">crew1Up</font></b> Samokutyayev",,,,,,,,,"Soyuz TMA-21 <b><font color=""red"">crewMembers</font></b> Samokutyayev","Soyuz TMA-21 <b><font color=""red"">crew2Up</font></b> Andrei Borisenko","Soyuz TMA-21 <b><font color=""red"">crewMembers</font></b> Andrei Borisenko","Andrei Borisenko <b><font color=""red"">mission</font></b> Soyuz TMA-21","Soyuz TMA-21 <b><font color=""red"">agency3Up</font></b> NASA","Ron Garan <b><font color=""red"">mission</font></b> Soyuz TMA-21","Soyuz TMA-21 <b><font color=""red"">launchSite</font></b> Baikonur Cosmodrome"
Samokutyayev has received various Russian Armed Force medals.,"Samokutyayev <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,,,"Samokutyayev <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,,,,,
Aleksandr Mikhailovich Samokutyayev (????????? ?????????? ??????????  born 13 March 1970 in Penza / Penza Oblast / Russian SFSR) is a Russian cosmonaut.,"Aleksandr Mikhailovich Samokutyayev <b><font color=""red"">birthPlace</font></b> Penza",,,,,,,,,,,"Russian <b><font color=""red"">establishedEvent</font></b> Russian SFSR",,,,,,,,,"Aleksandr Mikhailovich Samokutyayev <b><font color=""red"">birthPlace</font></b> Russian","Aleksandr Mikhailovich Samokutyayev <b><font color=""red"">nationality</font></b> Russian",,,,,
He returned just over a week later aboard Soyuz TM-10 along with Gennadi Manakov and Gennady Strekalov on December 10.,"Soyuz TM-10 <b><font color=""red"">crewMembers</font></b> Gennadi Manakov",,,,,,,,,,,"Gennady Strekalov <b><font color=""red"">mission</font></b> Soyuz TM-10",,,,,,,,,,,,,,,
"Scott David Tingle (born July 19, 1965) is a current NASA Astronaut.","David <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"David <b><font color=""red"">type</font></b> Astronaut",,,,,,,,,,,,,,,
"He married Svetlana Veniaminovna Polubinskaya, (born 1954); they had a daughter, Alexandra Yurievna Baturina, (born 1982), a student at the Moscow State Academy of Law.","a daughter <b><font color=""red"">recordedIn</font></b> State",,,,,,,,,,,"Baturina <b><font color=""red"">birthPlace</font></b> Moscow",,,,,,,,,"Academy <b><font color=""red"">headquarters</font></b> State",,,,,,
This mission was notable as carrying to first paying space tourist Dennis Tito.,"Dennis Tito <b><font color=""red"">type</font></b> space tourist",,,,,,,,,,,,,,,,,,,,,,,,,,
"His second spaceflight was ISS EP-1, which was launched with the spacecraft Soyuz TM-32 on April 28, 2001, and landed with Soyuz TM-31.","Soyuz TM-32 <b><font color=""red"">details3Up</font></b> spaceflight",,,,,,,,,,,"Soyuz TM-31 <b><font color=""red"">details3Down</font></b> spaceflight",,,,,,,,,"Soyuz TM-32 <b><font color=""red"">previousMission</font></b> Soyuz TM-31","Soyuz TM-31 <b><font color=""red"">nextMission</font></b> Soyuz TM-32",,,,,
